Column1,Column2,Column3,Column4
0,https://shopee.vn/Tee-basic-ss1-CREWZ-%C3%A1o-thun-tay-l%E1%BB%A1-unisex-Local-Brand-AO_THUN_DVR-(V427)-i.37101020.13482385000?sp_atk=1d74551c-f7ad-4338-94c5-5364ebb933dd&xptdk=1d74551c-f7ad-4338-94c5-5364ebb933dd,1,Áo đẹp lắm giao đúng cỡ mặc thoải mái hài lòng 
0,https://shopee.vn/Tee-basic-ss1-CREWZ-%C3%A1o-thun-tay-l%E1%BB%A1-unisex-Local-Brand-AO_THUN_DVR-(V427)-i.37101020.13482385000?sp_atk=1d74551c-f7ad-4338-94c5-5364ebb933dd&xptdk=1d74551c-f7ad-4338-94c5-5364ebb933dd,1,Chất liệu: vải mỏng ạ  Màu sắc: trắng  Đúng với mô tả: ok  áo mỏng đc cái hình in đẹp với cái size xl to quá tr luôn biết v đặt lùi lại 1 size rồi🥲
0,https://shopee.vn/Tee-basic-ss1-CREWZ-%C3%A1o-thun-tay-l%E1%BB%A1-unisex-Local-Brand-AO_THUN_DVR-(V427)-i.37101020.13482385000?sp_atk=1d74551c-f7ad-4338-94c5-5364ebb933dd&xptdk=1d74551c-f7ad-4338-94c5-5364ebb933dd,1,Chất liệu: ok  Màu sắc: ok  Đúng với mô tả: ok  Áo hơi mỏng 
0,https://shopee.vn/Tee-basic-ss1-CREWZ-%C3%A1o-thun-tay-l%E1%BB%A1-unisex-Local-Brand-AO_THUN_DVR-(V427)-i.37101020.13482385000?sp_atk=1d74551c-f7ad-4338-94c5-5364ebb933dd&xptdk=1d74551c-f7ad-4338-94c5-5364ebb933dd,1,Chất liệu: vair gif as ko bieets dduowjc  Màu sắc: trắng  Đúng với mô tả: đúng với mô tả  Giao hàng nhanh và đóng gói sản phẩm chắc chắn lắm
0,https://shopee.vn/Tee-basic-ss1-CREWZ-%C3%A1o-thun-tay-l%E1%BB%A1-unisex-Local-Brand-AO_THUN_DVR-(V427)-i.37101020.13482385000?sp_atk=1d74551c-f7ad-4338-94c5-5364ebb933dd&xptdk=1d74551c-f7ad-4338-94c5-5364ebb933dd,1,Hàng hơi rộng  Okk mẹ tao nói chuyện với em có đi ko forget that we have a few things to do with
0,https://shopee.vn/Tee-basic-ss1-CREWZ-%C3%A1o-thun-tay-l%E1%BB%A1-unisex-Local-Brand-AO_THUN_DVR-(V427)-i.37101020.13482385000?sp_atk=1d74551c-f7ad-4338-94c5-5364ebb933dd&xptdk=1d74551c-f7ad-4338-94c5-5364ebb933dd,1,Chất liệu: vải thun  Màu sắc: Hồng
0,https://shopee.vn/Tee-basic-ss1-CREWZ-%C3%A1o-thun-tay-l%E1%BB%A1-unisex-Local-Brand-AO_THUN_DVR-(V427)-i.37101020.13482385000?sp_atk=1d74551c-f7ad-4338-94c5-5364ebb933dd&xptdk=1d74551c-f7ad-4338-94c5-5364ebb933dd,1,Chất liệu: jjjkskskksksk  Màu sắc: mmsmamsmksk  Đúng với mô tả: jdjdjdjkxk  Chào mừng bạn đến với bảng nhớ tạm của Gboard
0,https://shopee.vn/Tee-basic-ss1-CREWZ-%C3%A1o-thun-tay-l%E1%BB%A1-unisex-Local-Brand-AO_THUN_DVR-(V427)-i.37101020.13482385000?sp_atk=1d74551c-f7ad-4338-94c5-5364ebb933dd&xptdk=1d74551c-f7ad-4338-94c5-5364ebb933dd,1,Chạm và giữ một đoạn để ghim đoạn đó. Các đoạn đã bỏ ghim sẽ bị xóa sau 1 giờ.Sử dụng biểu tượng chỉnh sửa để ghim
0,https://shopee.vn/Tee-basic-ss1-CREWZ-%C3%A1o-thun-tay-l%E1%BB%A1-unisex-Local-Brand-AO_THUN_DVR-(V427)-i.37101020.13482385000?sp_atk=1d74551c-f7ad-4338-94c5-5364ebb933dd&xptdk=1d74551c-f7ad-4338-94c5-5364ebb933dd,1,Chất liệu: thun  Màu sắc: hồng  Đúng với mô tả: ổn  Giao hàng nhanh
0,https://shopee.vn/Tee-basic-ss1-CREWZ-%C3%A1o-thun-tay-l%E1%BB%A1-unisex-Local-Brand-AO_THUN_DVR-(V427)-i.37101020.13482385000?sp_atk=1d74551c-f7ad-4338-94c5-5364ebb933dd&xptdk=1d74551c-f7ad-4338-94c5-5364ebb933dd,1,Chất liệu: thun  Màu sắc: trắng  Đúng với mô tả: 100d  Tuyệt vời ạ áo đẹp mà hơi mỏng xíu ạ em sẽ ủng hộ tiếp cho shop nhaa❤️
